"SR_LN.R0.","TOTAL","Recruitment","Length_comp","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S5_TWN_WCNPO_DWLL_late","S6_US_WCNPO_LL_deep","S8_US_WCNPO_LL_shallow_late","SR_LN.R0..2","model.1","Label.1","ALL.1","F9_US_WCNPO_LL_deep","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F2_TWN_WCNPO_DWLL_late","F3_US_WCNPO_LL_shallow_late","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep.1"
6.3,157.44,89.6177,49.95,18.288,6.3,2,"Surv_like",18.288,2.3837,4.7734,1.8372,1.4691,3.3354,8.0833,0,6.3,2,"Catch_like",0.2477534255,0.2477534269,6.3,2,"Length_like",49.95,6.78450000000001,10.878,0,3.0652,21.70515,1.9034,3.48085,6.69499999999994
6.4,110.66,62.5905,33.7,14.726,6.4,3,"Surv_like",14.726,2.9948,3.6399,0.856399999999997,0.892999999999994,2.9417,6.8385,0.2013,6.4,3,"Catch_like",0.3074834255,0.3074834269,6.4,3,"Length_like",33.7,0.376499999999993,9.0595,0.0455000000000041,2.8689,16.12745,1.71599999999999,3.0173,5.05500000000006
6.5,71.8499999999999,36.2083,20.1099999999999,15.811,6.5,4,"Surv_like",15.811,5.3964,3.3644,0.859999999999999,0.734499999999997,2.7067,6.0525,0.346800000000002,6.5,4,"Catch_like",0.3695324255,0.3695324269,6.5,4,"Length_like",20.1099999999999,0.681000000000012,8.21900000000001,0.0480000000000018,2.7701,4.27955,1.63294999999999,2.34575,4.70499999999993
6.6,35.3,14.6195,13.3099999999999,7.76900000000001,6.6,5,"Surv_like",7.76900000000001,1.9623,2.4258,0.2683,0.505799999999994,1.9471,3.4143,0.905200000000001,6.6,5,"Catch_like",0.2509384255,0.2509384269,6.6,5,"Length_like",13.3099999999999,0.152500000000003,6.334,0.0575000000000045,2.5419,1.1967,1.47349999999999,1.8298,4.29500000000007
6.7,10.73,2.9494,6.92999999999984,1.09900000000002,6.7,6,"Surv_like",1.09900000000002,0.593,0.660899999999998,0,0,0.5602,0.602499999999999,2.3833,6.7,6,"Catch_like",0.4144244255,0.4144244269,6.7,6,"Length_like",6.92999999999984,0.293499999999995,3.25450000000001,0.126000000000005,2.14305,0.101550000000003,1.2986,1.3054,2.97499999999991
6.8,1.13999999999987,0.651800000000001,1.03999999999996,0,6.8,7,"Surv_like",0,0.0750000000000028,0.0359999999999943,0.415599999999998,0.0744999999999933,0,0,3.1111,6.8,7,"Catch_like",0.1264514255,0.1264514269,6.8,7,"Length_like",1.03999999999996,0.102499999999992,0.202000000000012,0.585999999999999,1.6632,0,1.20335,0.975000000000001,0.880000000000109
6.88248,0,0.173200000000001,0,0.486000000000018,6.88248,1,"Surv_like",0.486000000000018,0.0038000000000018,0.00880000000000081,0.6081,0.177299999999995,0.0777000000000001,0.217199999999998,3.1099,6.88248,1,"Catch_like",0.0298333255,0.0298333269,6.88248,1,"Length_like",0,0,0,0.886499999999998,1.4597,0.101100000000002,1.14474999999999,0.783549999999998,0.190000000000055
6.9,0.0499999999999545,0.120600000000003,0.0199999999999818,0.570000000000022,6.9,8,"Surv_like",0.570000000000022,0,0,0.630499999999998,0.190799999999996,0.0995999999999988,0.2624,3.1042,6.9,8,"Catch_like",0.0238800255,0.0238800269,6.9,8,"Length_like",0.0199999999999818,0.0120000000000005,0.161000000000001,0.926500000000004,1.41645,0.120350000000002,1.1322,0.748950000000001,0.0750000000000455
7,1.84999999999991,0,1.53999999999996,0.992000000000019,7,9,"Surv_like",0.992000000000019,0.00780000000000314,0.0327999999999946,0.679099999999998,0.245699999999999,0.2721,0.505499999999998,2.9719,7,9,"Catch_like",0.0008826685,0.0008826569,7,9,"Length_like",1.53999999999996,0.0995000000000061,1.91600000000001,1.101,1.1796,0.20355,1.0294,0.57985,0
7.1,4.80999999999995,0.0384000000000029,4.1099999999999,1.346,7.1,10,"Surv_like",1.346,0.0450000000000017,0.0700999999999965,0.659199999999998,0.324799999999996,0.410599999999999,0.695799999999998,2.8686,7.1,10,"Catch_like",0.0003221455,0.0003221379,7.1,10,"Length_like",4.1099999999999,0.252499999999998,4.36450000000001,1.1985,0.961949999999998,0.251750000000001,0.880099999999999,0.442799999999998,0.329999999999927
7.2,7.98000000000002,0.121000000000002,6.89999999999986,1.64800000000002,7.2,11,"Surv_like",1.64800000000002,0.0838000000000001,0.145299999999999,0.6251,0.386799999999994,0.550799999999999,0.8476,2.7407,7.2,11,"Catch_like",0.0002327955,0.0002327899,7.2,11,"Length_like",6.89999999999986,0.409500000000008,6.98700000000001,1.25700000000001,0.743849999999998,0.28435,0.670299999999997,0.330849999999998,0.779999999999973
7.3,11.1099999999999,0.210800000000003,9.66999999999985,1.91500000000002,7.3,12,"Surv_like",1.91500000000002,0.1204,0.206599999999995,0.591099999999997,0.448999999999998,0.667499999999999,0.973500000000001,2.6425,7.3,12,"Catch_like",0.0001659105,0.0001659069,7.3,12,"Length_like",9.66999999999985,0.593500000000006,9.51300000000002,1.295,0.5105,0.308450000000001,0.471999999999994,0.239699999999999,1.30500000000006
